"station_id","gauge_name","institution","gauge_lat","gauge_lon","gauge_alt","total_days_calendar","total_days_valid","TC","MC","SD","SS","TD","STRS","reliability"
"X00000010","Remehue","INIA",-40.52,-73.06,74,26298,4053,0.154118183892311,0.154085950389714,0,0.993602680200801,0,0.184117210785202,"Very Low"
"X10360002","Adolfo Matthei","DGA",-40.5883,-73.1069,56,26298,13822,0.52559129971861,0.525708403958543,0,0.990573083989014,1,0.58816179930412,"Moderate"
"X00400009","Canal Bajo Osorno Ad.","DMC",-40.605,-73.0608,59,26298,25617,0.974104494638376,0.974185014507595,1,0.986600194013337,1,0.984437621419745,"Very Good"
"X10356001","Rio Negro En Chahuilco","DGA",-40.7136,-73.2278,40,26298,6203,0.235873450452506,0.23585047833866,0,0.991751754047568,0,0.228899830125173,"Low"
"X00000012","Desague_Rupanco","INIA",-40.75,-72.66,259,26298,2774,0.10548330671534,0.105415368805826,0,0.993362852423813,0,0.15733511945844,"Very Low"
"X10340001","Rio Rahue En Desague Lago Rupanco","DGA",-40.7889,-72.6889,123,26298,4020,0.152863335614876,0.152879482371163,0,0.989342838825953,0.99999999997295,0.383013155154439,"Low"
"X00000013","La_Pampa","INIA",-40.86,-73.15,95,26298,3984,0.15149441022131,0.151500896057348,0,0.998451848406465,1,0.383168731921376,"Low"
"X00000014","Octay","INIA",-40.95,-72.88,174,26298,3546,0.134839151266256,0.134773247710076,0,0.99388849760017,0.999999999974694,0.373533907062352,"Low"
"X00000015","Quilanto","INIA",-41.03,-72.99,161,26298,3430,0.130428169442543,0.130367632417364,0,0.99286136873103,1,0.371006495810207,"Low"
"X00000016","Polizones","INIA",-41.11,-73.37,182,26298,3546,0.134839151266256,0.134767025089606,0,0.994079041889633,1,0.373551405841242,"Low"
"X00000017","Colegual","INIA",-41.22,-73.25,179,26298,3553,0.135105331203894,0.135035756464659,0,0.993756370866836,1,0.373666175564016,"Low"
"X00000018","Ensenada","INIA",-41.23,-72.51,63,26298,2729,0.103772149973382,0.103729572025943,0,0.992806334164897,0.99999999997295,0.35634467140958,"Low"
"X00001824","Central_Frey","RHN",-41.3579,-71.5629,813,26298,10509,0.399612137805156,0.39969865964142,0,0.989081380058969,0.999999999974694,0.518716444252738,"Moderate"
"X00001806","Manso_Los_Alerces","RHN",-41.3737,-71.7459,776,26298,22062,0.838923112023728,0.838439005690234,0,0.975512974891126,1,0.758837982518789,"Good"
"X00410005","El Tepual Puerto Montt Ap.","DMC",-41.435,-73.0978,84,26298,26103,0.992584987451517,0.992529756387167,1,0.992369906704466,1,0.995144926002694,"Very Good"
"X10425001","Puerto Montt","DGA",-41.46,-72.9378,97,26298,14836,0.56414936497072,0.564181444010884,0,0.988594270938531,1,0.60914959758779,"Good"
"X00000019","Los_Canelos","INIA",-41.48,-73.47,107,26298,4080,0.155144877937486,0.155118727598566,0,0.993432603808614,1,0.384666405661749,"Low"
"X00001822","Manso_Inferior","RHN",-41.556,-71.7804,441,26298,11994,0.456080310289756,0.456105031335032,0,0.989787777785105,0,0.349829128699195,"Low"
"X00001813","Villegas_Ruta_Nacional_N258","RHN",-41.5801,-71.4999,531,26298,3765,0.143166780743783,0.143107647778347,0,0.994153118581326,0,0.178142258025854,"Very Low"
"X00001814","Confluencia","RHN",-41.5868,-71.6837,457,26298,15927,0.605635409536847,0.605659497840046,0,0.984380767571027,1,0.631543574078168,"Good"
"X00001833","Poblador_Turra","RHN",-41.5935,-71.5209,499,26298,14605,0.555365427028671,0.555346855608721,0,0.986504787154513,0.999999999974694,0.604096820721172,"Good"
"X10523001","Puelo","DGA",-41.6511,-72.3117,8,26298,8195,0.311620655563161,0.311631821831233,0,0.987600124762521,0.99999999997295,0.470154164597599,"Moderate"
"X10512000","Llanada Grande","DGA",-41.87,-71.9395,239,26298,2359,0.0897026389839532,0.0896805840018206,0,0.991034731835472,0,0.148434410879188,"Very Low"
"X10900002","Ancud 2 (Doh)","DGA",-41.8792,-73.7964,13,26298,2349,0.0893223819301848,0.0893719420265119,0,0.992275231483322,0.99999999997295,0.348367223228606,"Low"
"X00001817","El_Azul","RHN",-41.9424,-71.5604,287,26298,16693,0.634763099855502,0.634748286725599,0,0.971910796826799,0,0.44630708132073,"Moderate"
"X00001894","Lago_Puelo_Oficina_Tecnica","RHN",-41.9836,-71.5231,334,26298,19374,0.736710015970796,0.736807422341696,0,0.981691701313405,0,0.503384030508004,"Moderate"
"X00000021","Butalcura","INIA",-42.26,-73.65,154,26298,4080,0.155144877937486,0.155110993770268,0,0.993861444971181,1,0.384707356320931,"Low"
"X00000023","Huyar_Alto","INIA",-42.4,-73.56,52,26298,4043,0.153737926838543,0.153691883790141,0,0.991473193890092,0.999999999974694,0.383691668383046,"Low"
"X10901004","Castro 2 (Doh)","DGA",-42.4794,-73.7742,24,26298,2190,0.0832762947752681,0.0832810357334134,0,0.990844654593536,0,0.144887612825287,"Very Low"
"X00002204","Cholila","RHN",-42.4956,-71.5411,535,26298,21780,0.828199863107461,0.828472372423406,0,0.979215927366884,1,0.753499644774778,"Good"
"X00000027","Tara","INIA",-42.7,-73.78,157,26298,3614,0.137424899231881,0.137406305114638,0,0.996002148782197,1,0.375179260926444,"Low"
"X00002221","Lago_Verde","RHN",-42.7442,-71.7417,562,26298,11818,0.449387786143433,0.449440353454652,0,0.984587813306708,0,0.345635205537364,"Low"
"X00002273","Valle_Chico","RHN",-42.9264,-71.265,593,26298,19820,0.753669480568865,0.753941502830894,0,0.986633212882472,0.999999999974694,0.713249541161569,"Good"
"X00002230","PN_Los_Alerces","RHN",-42.9719,-71.5789,613,26298,10007,0.380523233705985,0.380713551874217,0,0.985440307230495,0,0.307879388803399,"Low"
"X00002289","Lago_Situacion_Huemul","RHN",-43.0433,-71.8328,541,26298,4819,0.183245874210967,0.183261601539433,0,0.995281596112905,0,0.200317322259439,"Low"
"X00002233","Boquete_Nahuel_Pan","RHN",-43.0839,-71.2542,687,26298,18830,0.716024032245798,0.716170824971112,0,0.964108847937562,0.999999999974694,0.690260800705213,"Good"
"X00002284","Futaleufu_Puente_Tuberia","RHN",-43.13,-71.6278,345,26298,13526,0.514335690927067,0.514422716157282,0,0.991774494451178,0,0.382083835762558,"Low"
"X00002213","Nanty_Fall_Ruta_Chile","RHN",-43.1656,-71.5143,341,26298,16677,0.634154688569473,0.634160068236704,0,0.988632050060605,1,0.647649628636078,"Good"
"X00430002","Futaleufu Ad.","DMC",-43.1889,-71.8525,348,26298,23017,0.875237660658605,0.87528321812596,0.0833333333333333,0.981942866254366,1,0.792086389354508,"Good"
"X00000495","Colan Conhuo_EEA","INTA",-43.23,-69.92,843,26298,1886,0.0717164803407103,0.0716808542413381,0,0.994500153899341,1,0.338885173052482,"Low"
"X00002234","Lago_Rosario","RHN",-43.2356,-71.3616,719,26298,19995,0.760323979009811,0.760495620378708,0,0.978969963044658,1,0.716118095102086,"Good"
"X00002294","Hielo_Nacimiento","RHN",-43.325,-71.6403,1015,26298,9663,0.367442391056354,0.367525406683499,0,0.992164236184359,0,0.301330492606217,"Low"
"X00002280","Carrenleufu_Puesto_Blanco","RHN",-43.5333,-71.5833,334,26298,10865,0.413149288919309,0.41325739713242,0,0.984287883513974,0,0.325687924310295,"Low"
"X00002298","Carrenleufu_Frontera","RHN",-43.5609,-71.7289,250,26298,9990,0.379876796714579,0.379863526591372,0,0.994028812494015,0,0.308331801911618,"Low"
"X00002202","La_Elena","RHN",-43.6839,-71.3009,770,26298,23343,0.887634040611453,0.88769620259528,0.25,0.98032593942981,1,0.823746856775237,"Very Good"
"X00002285","Poncho_Moro_Nacimiento","RHN",-43.6878,-71.415,533,26298,9848,0.374477146551069,0.374470206706256,0,0.994237055937833,0,0.305384401235668,"Low"
"X00002296","Carrenleufu_Jaramillo","RHN",-43.8424,-71.2339,993,26298,11447,0.435280249448627,0.435348306736076,0,0.984334177765881,0.99999999997295,0.537854569289785,"Moderate"
"X00002207","Los_Altares","RHN",-43.8884,-68.3994,244,26298,23427,0.890828199863107,0.890872369088327,0.5,0.953539429578483,1,0.860320495188862,"Very Good"
"X11041001","La Junta","DGA",-43.9708,-72.4056,49,26298,12522,0.476157882728725,0.476085948427902,0,0.978314645985088,1,0.559700316524102,"Moderate"
"X00002270","La_Paulina_Aserradero","RHN",-45.0016,-71.1681,839,26298,17886,0.680127766370066,0.680239988999143,0,0.981523666452048,1,0.67225069380601,"Good"
"X11180000","Islas Huichas","DGA",-45.1553,-73.5164,0,26298,3113,0.118374020838087,0.118325261705638,0,0.989401978356329,0.99999999997295,0.364033719508058,"Low"
"X00450001","Puerto Aysen Ad.","DMC",-45.3961,-72.6639,12,26298,20702,0.787208152711233,0.787239131197117,0,0.988511167124914,1,0.731823345325141,"Good"
"X11342001","Rio Aysen En Puerto Aysen","DGA",-45.4058,-72.6231,5,26298,6339,0.241044946383755,0.240939521278787,0,0.983983685023976,1,0.430946732737221,"Moderate"
"X11316004","Coyhaique Alto","DGA",-45.4803,-71.6044,724,26298,5134,0.19522397140467,0.19534361310235,0,0.985433200191214,0.999999999974694,0.405946414711049,"Moderate"
"X11317001","Rio Simpson Bajo Junta Coyhaique","DGA",-45.5517,-72.0681,201,26298,5492,0.208837173929576,0.20888947007551,0,0.988660323794578,0,0.213739552077208,"Low"
"X11316003","Coyhaique (Escuela Agricola)","DGA",-45.5739,-72.0286,339,26298,10907,0.414746368545137,0.414662550663779,0,0.977268345333178,1,0.525816382762804,"Moderate"
"X00000030","El_Claro","INIA",-45.58,-72.09,241,26298,3113,0.118374020838087,0.11833379558514,0,0.992928033168535,0.999999999974694,0.364388458459503,"Low"
"X00002269","Sarmiento_Aeroclub","RHN",-45.5811,-69.0749,270,26298,14525,0.552323370598525,0.552385112034143,0,0.984898852307927,1,0.602283174418886,"Good"
"X00450004","Teniente Vidal Coyhaique Ad.","DMC",-45.5939,-72.1086,295,26298,24741,0.940793976728268,0.940772564999716,1,0.993352153775821,1,0.966766549645992,"Very Good"
"X00000031","Tamelaike","INIA",-45.75,-72.06,411,26298,3842,0.146094760057799,0.146030412613074,0,0.992044995298284,1,0.379540530700437,"Low"
"X00450005","Balmaceda Ad.","DMC",-45.9128,-71.6942,516,26298,24713,0.939729256977717,0.939706191770986,1,0.988128226171528,1,0.965658147653214,"Very Good"
"X00000032","Vista_Hermosa","INIA",-45.93,-71.83,679,26298,3552,0.135067305498517,0.134992906212664,0,0.992028340697755,1,0.373471252272497,"Low"
"X11505001","Rio Ibaez En Desembocadura","DGA",-46.2692,-71.9908,209,26298,4898,0.186249904935737,0.186298945354725,0,0.984497308872555,1,0.400899438706658,"Moderate"
"X00000035","Chile_Chico","INIA",-46.54,-71.69,212,26298,4085,0.15533500646437,0.15531802924276,0,0.992310621635796,0,0.184661071413581,"Very Low"
"X11521005","Lago General Carrera Fachinal","DGA",-46.5425,-72.2267,205,26298,1989,0.0756331279945243,0.075629640296979,0,0.993190780448965,0,0.140916426517499,"Very Low"
"X00460001","Chile Chico Ad.","DMC",-46.5808,-71.6928,305,26298,21945,0.834474104494638,0.834607060828905,0,0.984406557959645,1,0.757434652351582,"Good"
"X11536004","Rio Baker En Angostura Chacabuco","DGA",-47.1414,-72.7258,143,26298,6039,0.229637234770705,0.229641372909935,0,0.990570300844101,1,0.425358543743105,"Moderate"
"X00000036","Cochrane","INIA",-47.24,-72.58,209,26298,3872,0.147235531219104,0.147223200062582,0,0.993834895162442,1,0.380359948897621,"Low"
"X00470001","Lord Cochrane Ad.","DMC",-47.2439,-72.5864,201,26298,17991,0.684120465434634,0.68424605381641,0,0.991065657813775,1,0.67540421886587,"Good"
"X11546001","Caleta Tortel","DGA",-47.7997,-73.5358,12,26298,2805,0.106662103582021,0.10668727242988,0,0.990156971082715,1,0.357686146290348,"Low"
"X11711000","Rio Pascua Ante Junta Rio Quetru","DGA",-48.1592,-73.0889,20,26298,6276,0.238649326945015,0.238594390347496,0,0.990799826294386,1,0.430323378299817,"Moderate"
"X11702000","Lago Ohiggins En Villa Ohiggins","DGA",-48.5169,-72.5953,268,26298,5902,0.224427713134079,0.224388849775275,0,0.982828469981294,1,0.421708373382172,"Moderate"
"X12000000","Glaciar Tempano","DGA",-48.8347,-74.1831,36,26298,2073,0.0788272872461784,0.0786237874779541,0,0.988416102498937,0.999999999974694,0.342145743288175,"Low"
"X11704001","Candelario Mancilla","DGA",-48.8775,-72.7394,297,26298,7515,0.285763175906913,0.285866384337487,0,0.977201036669698,1,0.454915652523415,"Moderate"
"X00002801","La_Leona","RHN",-49.7972,-72.064,249,26298,15268,0.580576469693513,0.580399815319981,0,0.984782644168521,1,0.617751159154901,"Good"
"X00002802","Santa_Cruz_Charles_Fuhr","RHN",-50.2521,-71.9078,180,26298,21207,0.806411133926534,0.806493393354953,0,0.971882991108656,1,0.740734987627564,"Good"
"X12280004","Lago Dickson","DGA",-50.8228,-73.1125,198,26298,5287,0.201041904327325,0.201061315433766,0,0.967021375952765,1,0.407280037751916,"Moderate"
"X12280006","Lago Paine","DGA",-50.8414,-72.9047,159,26298,3683,0.140048672902882,0.140067811849537,0,0.990541474104235,0,0.176085702243672,"Very Low"
"X12283001","Cerro Guido","DGA",-50.8986,-72.3314,224,26298,13096,0.497984637615028,0.498173311444423,0,0.980520093576887,1,0.571990728503303,"Moderate"
"X12284009","Lago Sarmiento","DGA",-51.0108,-72.7106,119,26298,8003,0.304319720130808,0.304375035557831,0,0.975445158490812,1,0.464934190777782,"Moderate"
"X12284006","Rio Las Chinas En Cerro Guido","DGA",-51.0508,-72.5169,76,26298,5849,0.222412350749106,0.222392461470025,0,0.990556611127865,1,0.421377481705025,"Moderate"
"X12283003","Lago Pehoe","DGA",-51.0783,-72.9933,40,26298,4525,0.172066316830177,0.172116882147124,0,0.98006019483604,0.99999999997295,0.392655135064028,"Low"
"X12287002","Lago Grey","DGA",-51.1114,-73.13,44,26298,3498,0.133013917408168,0.132991266996643,0,0.989230821546997,0,0.172075074126311,"Very Low"
"X12288000","Glaciar Tindall","DGA",-51.1158,-73.2825,332,26298,2454,0.0933150809947525,0.093356301240061,0,0.983744197053208,0,0.149708019313762,"Very Low"
"X00000037","Cerro_Castillo","INIA",-51.17,-72.43,317,26298,1794,0.0682181154460415,0.0681862367160847,0,0.998776588099502,0,0.137389652622784,"Very Low"
"X12286001","Torres Del Paine","DGA",-51.1842,-72.9669,24,26298,13819,0.525477222602479,0.525463321606606,0,0.990779872290417,1,0.588086984411437,"Moderate"
"X12284010","Cerro Castillo","DGA",-51.26,-72.3272,130,26298,13994,0.532131721043425,0.532355318249947,0,0.982458944029794,1,0.590974240278494,"Moderate"
"X00510005","Teniente Gallardo Puerto Natales Ad.","DMC",-51.6672,-72.5289,66,26298,5932,0.225568484295384,0.225562524890482,0,0.990306807876978,0,0.223091857298933,"Low"
"X00000038","Puerto_Natales","INIA",-51.69,-72.48,111,26298,3834,0.145790554414784,0.145736174624755,0,0.993295284868658,0,0.17950073846749,"Very Low"
"X12293001","Puerto Natales","DGA",-51.7336,-72.4781,46,26298,6562,0.24952467868279,0.249550904591227,0,0.988299821020396,1,0.436075111854683,"Moderate"
"X12622001","Rio Penitente En Morro Chico","DGA",-52.0511,-71.4247,168,26298,4999,0.190090501178797,0.190132171524112,0,0.990185019524514,1,0.403578695187118,"Moderate"
"X12402000","Lago Anibal Pinto","DGA",-52.0911,-72.4361,48,26298,3621,0.137691079169519,0.13770330190021,0,0.994335758921895,1,0.375166725118098,"Low"
"X12680001","Monte Aymond","DGA",-52.1644,-69.6078,170,26298,8217,0.312457221081451,0.312554688557539,0,0.968677589131422,1,0.468743597376962,"Moderate"
"X12622002","Villa Tehuelche","DGA",-52.4414,-71.4022,191,26298,14569,0.553996501635105,0.553978841619044,0,0.983860300353508,1,0.603079690930643,"Good"
"X12452001","Rio Perez En Desembocadura","DGA",-52.5492,-71.9747,10,26298,4066,0.15461251806221,0.154584026711043,0,0.994246276058491,1,0.384454389702273,"Low"
"X12530001","San Gregorio","DGA",-52.5664,-70.0706,11,26298,10249,0.389725454407179,0.389732038635913,0,0.985165443496894,0,0.312867190330821,"Low"
"X12454001","Rio Verde","DGA",-52.6042,-71.5019,11,26298,6885,0.261806981519507,0.261802891783542,0,0.992307884119832,1,0.443223605813721,"Moderate"
"X00000040","Kampenaike","INIA",-52.61,-70.92,115,26298,2947,0.112061753745532,0.112027721498314,0,0.992951579109886,0,0.160920614409227,"Very Low"
"X12802001","Rio Side En Cerro Sombrero","DGA",-52.7681,-69.2772,47,26298,4043,0.153737926838543,0.15374023937532,0,0.991661303929962,1,0.383722568288389,"Low"
"X00000041","Tierra_del_Fuego","INIA",-52.8,-69.27,93,26298,3257,0.123849722412351,0.123809882453167,0,0.995096744864639,1,0.367617061823461,"Low"
"X12806004","Bahia San Felipe","DGA",-52.8697,-69.9319,11,26298,12909,0.49087383070956,0.490636421420626,0,0.974603289003018,1,0.567381583468326,"Moderate"
"X00520006","Punta Arenas","DMC",-53.0033,-70.845,36,26298,25259,0.960491292113469,0.960601043217724,1,0.990506845603383,1,0.97734833299881,"Very Good"
"X00000042","Isla_Riesco","INIA",-53.03,-71.93,45,26298,2758,0.10487489542931,0.104877124396498,0,0.990942200782842,0,0.156775969806202,"Very Low"
"X00000043","Punta_Arenas_Rural","INIA",-53.06,-70.87,47,26298,3242,0.123279336831698,0.123221228687372,0,0.996392492866509,0,0.167428357508003,"Very Low"
"X12587000","Bitsch Alto","DGA",-53.0919,-71.0025,331,26298,3879,0.147501711156742,0.147604646697389,0,0.987783794337512,0,0.179930054455121,"Very Low"
"X12586004","Punta Arenas","DGA",-53.1233,-70.8772,6,26298,17186,0.653509772606282,0.653573126764404,0,0.986164412304761,1,0.658062654703462,"Good"
"X12586009","Canal De Trasvase Estero Llau-Llau","DGA",-53.125,-70.9358,75,26298,5958,0.226557152635181,0.226590679581271,0,0.991961102472124,1,0.423810925933085,"Moderate"
"X12586001","Rio Las Minas En Bt. Sendos","DGA",-53.1381,-70.9875,209,26298,7289,0.277169366491748,0.277249299510724,0,0.980121473708297,0.999999999974694,0.450475282190974,"Moderate"
"X12586010","Magdalena Giglio 2","DGA",-53.1397,-71.0561,420,26298,2946,0.112023728040155,0.112016536108119,0,0.994364773185653,0,0.161047729757642,"Very Low"
"X12586006","Cerro Mirador","DGA",-53.1842,-71.0833,585,26298,4085,0.15533500646437,0.155427547363031,0,0.990031547902732,0,0.184460543570342,"Very Low"
"X00530005","Fuentes Martinez Porvenir Ad.","DMC",-53.1875,-70.3203,10,26298,12298,0.467640124724314,0.467722075208982,0,0.989760754391527,1,0.556198631658692,"Moderate"
"X12809001","Porvenir","DGA",-53.2908,-70.37,41,26298,11126,0.423073998022663,0.42311989499895,0,0.990991205090212,1,0.531801293665558,"Moderate"
"X12815001","Onaisin En Maria Cristina","DGA",-53.3056,-69.2675,33,26298,11147,0.423872537835577,0.423836820575674,0,0.986095802014835,1,0.531730546696075,"Moderate"
"X12863001","San Sebastian","DGA",-53.3217,-68.6614,17,26298,10694,0.406646893299871,0.406817886153143,0,0.982053688334888,1,0.521903908361736,"Moderate"
"X12582003","Lago Parrillar","DGA",-53.4025,-71.2497,324,26298,10487,0.398775572286866,0.399020473708785,0,0.964185236425846,0,0.315806313755841,"Low"
"X12816001","Cameron","DGA",-53.6369,-69.6506,9,26298,9743,0.370484447486501,0.370338570634038,0,0.982134004863552,1,0.501943377390815,"Moderate"
"X12873001","Russfin","DGA",-53.7594,-69.1892,222,26298,9410,0.357821887596015,0.357863353829358,0,0.984754470369502,0,0.295287851773094,"Low"
"X12821000","Rio Condor","DGA",-53.9964,-70.0781,8,26298,3073,0.116852992623013,0.116868209067296,0,0.994381593688755,0,0.163711109422603,"Very Low"
"X12876003","Pampa Huanaco","DGA",-54.0497,-68.7997,154,26298,9777,0.371777321469313,0.371801220565472,0,0.985242775221884,1,0.503007779104351,"Moderate"
"X12879000","Lago Deseado","DGA",-54.3378,-68.8242,619,26298,3637,0.138299490455548,0.138334008932127,0,0.987242453178901,0,0.174797594687586,"Very Low"
"X12930004","Puerto Navarino","DGA",-54.9256,-68.3236,7,26298,3704,0.140847212715796,0.140878527336861,0,0.990256939078343,1,0.376499489556788,"Low"
"X00550001","Guardia Marina Zanartu Pto Williams Ad.","DMC",-54.9317,-67.6156,13,26298,21350,0.811848809795422,0.811836374386198,0,0.986178569535733,1,0.745131593488749,"Good"
"X12930001","Rio Robalo En Puerto Williams","DGA",-54.9469,-67.6392,62,26298,4803,0.182637462924937,0.18239532081011,0,0.978294313855308,1,0.39821950046554,"Low"
"X12930003","Robalo Alto","DGA",-54.9769,-67.6744,312,26298,3405,0.129477526808122,0.129499132388917,0,0.989892944983986,1,0.370207335638065,"Low"
